Flow IAT Mean,Tot Bwd Pkts,Fwd Header Len,Fwd IAT Std,Init Bwd Win Byts,Subflow Fwd Pkts,Bwd Header Len,ECE Flag Cnt,Flow Duration,Subflow Fwd Byts,Fwd Pkt Len Max,Bwd IAT Std,Subflow Bwd Byts,CWE Flag Count,SYN Flag Cnt,Pkt Len Var,Pkt Len Std,Flow IAT Std,Bwd Pkts/s,Pkt Len Max,Pkt Size Avg,Active Mean,Flow IAT Max,RST Flag Cnt,Idle Std,Bwd Pkt Len Max,Fwd IAT Mean,Bwd IAT Min,Fwd Pkt Len Std,Active Std,Fwd IAT Min,Bwd IAT Mean,Idle Max,Idle Min,Pkt Len Mean,Pkt Len Min,Bwd Pkt Len Std,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkts/s,Bwd Seg Size Avg,Fwd Seg Size Avg,Dst Port,Fwd IAT Max,Down/Up Ratio,Fwd Seg Size Min,Init Fwd Win Byts,Fwd Pkt Len Min,Bwd IAT Max,Fwd Act Data Pkts,PSH Flag Cnt,Protocol,ACK Flag Cnt,Flow IAT Min,Subflow Bwd Pkts,Active Min,Fwd Pkt Len Mean,Fwd PSH Flags,FIN Flag Cnt,Fwd URG Flags,URG Flag Cnt,Active Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd IAT Tot,Idle Mean,Fwd IAT Tot,TotLen Bwd Pkts
964267.0,0,620,224924.9720457913,0,31,0,0,28928010.0,3436,1636.0,0.0,0,0,0,77537.232049948,278.4550808477877,224924.9720457913,0.0,1636,110.83870967741936,7303.0,1030521.0,0,375411.6455948723,0.0,964267.0,0.0,278.4550808477877,3004.755231295887,121088.0,0.0,906120.0,8001.0,110.83870967741936,60,0.0,31,3436,1.0716257357488468,0.0,110.83870967741936,42960,1030521.0,0.0,20,148,60.0,0.0,31,0,6,0,121088.0,0,3313.0,110.83870967741936,0,1,0,0,10564.0,0.0,0.0,0.0,260820.5,28928010.0,0
50582.71428571428,0,64,75126.3614618051,0,8,0,0,354079.0,12112,1514.0,0.0,0,0,0,0.0,0.0,75126.3614618051,0.0,1514,1514.0,124288.0,232060.0,0,93719.76752354152,0.0,50582.71428571428,0.0,0.0,87773.0,7497.0,0.0,224563.0,11502.0,1514.0,1514,0.0,8,12112,22.593827931054932,0.0,1514.0,22,232060.0,0.0,8,0,1514.0,0.0,8,0,17,0,7497.0,0,36515.0,1514.0,0,1,0,0,212061.0,0.0,0.0,0.0,93359.0,354079.0,0
0.0,0,20,0.0,0,1,0,0,0.0,60,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,60,60.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60,0.0,1,60,0.0,0.0,60.0,1024,0.0,0.0,20,62818,60.0,0.0,1,0,6,0,0.0,0,0.0,60.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,20,0.0,0,1,0,0,0.0,60,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,60,60.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60,0.0,1,60,0.0,0.0,60.0,54444,0.0,0.0,20,1024,60.0,0.0,1,0,6,0,0.0,0,0.0,60.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1035724.7857142856,0,580,854304.2603017195,0,29,0,0,29000294.0,1990,104.0,0.0,0,0,0,92.718192627824,9.629028644044215,854304.2603017197,0.0,104,68.62068965517241,1108553.2,2001075.0,0,455019.7115567742,0.0,1035724.7857142856,0.0,9.629028644044215,697263.4388950564,0.0,0.0,1480247.0,8623.0,68.62068965517241,66,0.0,29,1990,0.999989862171742,0.0,68.62068965517241,8080,2001075.0,0.0,20,672,66.0,0.0,2,0,6,0,0.0,0,9036.0,68.62068965517241,0,1,0,0,1985490.0,0.0,0.0,0.0,703728.3,29000294.0,0
15108.048818088386,0,38940,29307.893244496663,0,1947,0,0,29400263.0,124535,317.0,0.0,0,0,0,103.43824497620427,10.170459427980838,29307.893244496663,0.0,317,63.962506420133536,31821.52014010508,606729.0,0,27149.16894710325,0.0,15108.048818088386,0.0,10.170459427980838,36207.33809981221,0.0,0.0,440354.0,5023.0,63.962506420133536,60,0.0,1947,124535,66.22389738486353,0.0,63.962506420133536,38110,606729.0,0.0,20,512,60.0,0.0,1946,0,6,0,0.0,0,41.0,63.962506420133536,0,1,0,0,606729.0,0.0,0.0,0.0,26842.529585798817,29400263.0,0
0.0,0,20,0.0,0,1,0,0,0.0,74,74.0,0.0,0,0,0,0.0,0.0,0.0,0.0,74,74.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74,0.0,1,74,0.0,0.0,74.0,88,0.0,0.0,20,64240,74.0,0.0,0,0,6,0,0.0,0,0.0,74.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2866313.0,0,220,2663130.9644732457,0,11,0,0,28663130.0,660,60.0,0.0,0,0,0,0.0,0.0,2663130.9644732457,0.0,60,60.0,3859526.6666666665,7915664.0,0,1528431.3699618806,0.0,2866313.0,0.0,0.0,1702140.194585302,844.0,0.0,4085107.0,350961.0,60.0,60,0.0,11,660,0.3837682765280693,0.0,60.0,8522,7915664.0,0.0,20,1024,60.0,0.0,11,0,6,0,844.0,0,2473481.0,60.0,0,0,0,0,6256979.0,0.0,0.0,0.0,1705876.857142857,28663130.0,0
0.0,0,16,0.0,0,2,0,0,1.0,144,72.0,0.0,0,0,0,0.0,0.0,0.0,0.0,72,72.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72,0.0,2,144,2000000.0,0.0,72.0,22,0.0,0.0,8,0,72.0,0.0,2,0,17,0,0.0,0,0.0,72.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,20,0.0,0,1,0,0,0.0,60,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,60,60.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60,0.0,1,60,0.0,0.0,60.0,3613,0.0,0.0,20,1024,60.0,0.0,1,0,6,0,0.0,0,0.0,60.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
