src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.31.137,103.107.199.50,52308,443,6,2023-05-04 22:16:08,4533261.0,58.23622332797515,0.8823670201208357,0.44118351006041784,0.44118351006041784,2,2,132,132,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,40,40,20,0,1511087.0,4467862.0,17.0,2090925.9426188834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,11,0.0,0.0,0.0,0.0,4402480.0,65382.0,2233931.0,2168549.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,2,2,132,132
64.233.188.188,192.168.31.137,5228,54810,6,2023-05-04 22:16:09,17.0,28352941.17647059,117647.05882352941,58823.529411764706,58823.529411764706,1,1,416,66,416.0,416.0,416.0,0.0,66.0,66.0,66.0,0.0,416,66,241.0,175.0,30625.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,241.0,265,1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,66.0,0,1,1,416,66
192.168.31.137,142.250.66.46,57927,443,17,2023-05-04 22:16:09,396794.0,12563.193999909274,35.28279157446937,15.121196389058303,20.16159518541107,6,8,1488,3497,1116.0,71.0,248.0,388.1868106981483,1292.0,67.0,437.125,510.70550161027245,1292,67,356.07142857142856,471.57251590301786,222380.63775510204,48,64,8,6,30522.615384615383,175604.0,0.0,47712.42650511413,347578.0,175604.0,34.0,69515.6,68336.66936747795,369978.0,254039.00000000003,0.0,52854.0,86060.31525622017,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,356.07142857142856,0,0,125441.0,1456.0,64427.666666666664,50635.60248371583,147332.0,16257.0,59896.75,51861.57684343487,0.0,0.0,3108.0,6.0,0.0,46792.43010493669,248.0,437.125,0,6,8,1488,3497
52.159.49.199,192.168.31.137,443,34132,6,2023-05-04 22:16:10,236725.0,18392.64969901785,16.897243637131695,8.448621818565847,8.448621818565847,2,2,469,3885,415.0,54.0,234.5,180.5,2850.0,1035.0,1942.5,907.5,2850,54,1088.5,1075.8179446356153,1157384.25,40,40,20,1,78908.33333333333,232027.0,554.0,108281.16667987815,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,1088.5,2053,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.5,1942.5,0,2,2,469,3885
192.168.31.137,104.208.16.88,35856,443,6,2023-05-04 22:16:10,232705.0,464.1069164822415,8.594572527448916,4.297286263724458,4.297286263724458,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.168.31.137,31.13.75.1,41284,443,6,2023-05-04 22:16:12,252122.0,1935.5708744179403,23.79800255431894,11.89900127715947,11.89900127715947,3,3,262,226,98.0,66.0,87.33333333333333,15.084944665313014,94.0,66.0,75.33333333333333,13.199326582148888,98,66,81.33333333333333,15.391195174153594,236.8888888888889,60,60,20,2,50424.4,229568.0,0.0,89837.15925517681,233396.0,229568.0,3828.0,116698.0,112870.0,18740.0,18740.0,0.0,9370.0,9370.0,0,0,0,0,1,0,0,0,0,0,0,1.0,81.33333333333333,1730,424,0.0,0.0,0.0,0.0,229568.0,18712.0,124140.0,105428.0,0.0,0.0,0.0,0.0,0.0,0.0,87.33333333333333,75.33333333333333,0,3,3,262,226
192.168.31.137,157.240.199.17,58850,443,6,2023-05-04 22:16:12,4124992.0,464.97059873085817,1.9393977006500862,0.9696988503250431,0.9696988503250431,4,4,328,1590,98.0,66.0,82.0,16.0,1364.0,66.0,397.5,558.1261058219728,1364,66,239.75,425.165188485605,180765.4375,80,80,20,2,589284.5714285715,3871431.0,1.0,1342184.2820768857,4124992.0,3889636.0,5875.0,1374997.3333333333,1780459.7961819365,3889633.0,3871431.0,1.0,1296544.3333333333,1820734.9833942216,0,0,0,0,1,0,0,0,0,0,0,1.0,239.75,501,276,0.0,0.0,0.0,0.0,3853243.0,18175.0,1366966.3333333333,1760178.2682098488,0.0,0.0,0.0,0.0,0.0,0.0,82.0,397.5,0,4,4,328,1590
192.168.31.137,172.64.132.20,58942,443,6,2023-05-04 22:16:13,30157.0,4377.093212189541,66.31959412408396,33.15979706204198,33.15979706204198,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66
192.168.31.137,157.240.199.35,55478,443,17,2023-05-04 22:16:16,262495.0,11268.78607211566,38.09596373264253,19.047981866321265,19.047981866321265,5,5,1868,1090,1288.0,76.0,373.6,468.95057308846526,730.0,90.0,218.0,256.0,1288,76,295.8,385.71772061962616,148778.15999999997,40,40,8,5,29166.11111111111,154795.0,62.0,46233.00919483694,243391.0,154997.0,62.0,60847.75,57679.52117682237,236924.0,154915.0,1219.0,59231.0,58140.141176299185,0,0,0,0,1,0,0,0,0,0,0,1.0,295.8,0,0,153778.0,62.0,59743.0,67291.90219236388,154675.0,25447.0,70817.33333333333,59362.86783466206,0.0,0.0,0.0,0.0,0.0,0.0,373.6,218.0,0,5,5,1868,1090
192.168.31.137,157.240.199.17,53312,443,6,2023-05-04 22:16:16,180243.0,1797.5732760772958,22.192262667620934,11.096131333810467,11.096131333810467,2,2,164,160,98.0,66.0,82.0,16.0,94.0,66.0,80.0,14.0,98,66,81.0,15.066519173319364,227.0,40,40,20,1,60081.0,157083.0,8.0,69238.48730775873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,81.0,501,276,0.0,0.0,0.0,0.0,133931.0,23152.0,78541.5,55389.5,0.0,0.0,0.0,0.0,0.0,0.0,82.0,80.0,0,2,2,164,160
