src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.20.29.42,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,3692992.0,208.503024106199,1.0831325927594753,1.0831325927594753,0.0,4,0,770,0,370.0,110.0,192.5,103.58933342772315,0.0,0.0,0.0,0.0,370,110,192.5,103.58933342772315,10730.75,32,0,8,4,1230997.3333333333,2973802.0,323138.0,1232708.4522749984,3692992.0,2973802.0,323138.0,1230997.3333333333,1232708.4522749984,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,192.5,0,0,0.0,0.0,0.0,0.0,2577750.0,72914.0,991267.3333333334,1126454.156862537,0.0,0.0,0.0,0.0,0.0,0.0,192.5,0.0,0,4,0,770,0
10.20.36.162,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,7379644.0,193.64077725158558,2.574649942463349,2.574649942463349,0.0,19,0,1429,0,81.0,70.0,75.21052631578948,5.4923769887135006,0.0,0.0,0.0,0.0,81,70,75.21052631578948,5.4923769887135006,30.166204986149577,152,0,8,19,409980.22222222225,6244348.0,0.0,1438033.0711470116,7379644.0,6244348.0,0.0,409980.22222222225,1438033.0711470116,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.21052631578948,0,0,6244347.0,2389.0,3123368.0,3120979.0,6241959.0,1120934.0,3681446.5,2560512.5,210.33333333333334,6.333333333333333,0.0,0.0,43938.444398022424,0.0,75.21052631578948,0.0,0,19,0,1429,0
10.20.42.1,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,3685744.0,470.4613234125864,0.8139469263193537,0.8139469263193537,0.0,3,0,1734,0,894.0,87.0,578.0,351.9289701061849,0.0,0.0,0.0,0.0,894,87,578.0,351.9289701061849,123854.0,24,0,8,3,1842872.0,2250187.0,1435557.0,407315.0,3685744.0,2250187.0,1435557.0,1842872.0,407315.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,578.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0,3,0,1734,0
10.20.42.126,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,9927267.0,343.1961686937603,2.316851153494713,2.316851153494713,0.0,23,0,3407,0,488.0,70.0,148.1304347826087,143.3725170279904,0.0,0.0,0.0,0.0,488,70,148.1304347826087,143.3725170279904,20555.678638941397,184,0,8,23,451239.4090909091,2543898.0,0.0,665137.5606830692,9927267.0,2543898.0,0.0,451239.4090909091,665137.5606830692,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,148.1304347826087,0,0,1755414.0,96885.0,802042.5,543127.4703498096,2543898.0,99016.0,1050879.0,703383.0791351994,627.6666666666666,6.0,0.0,0.0,656.9875845745037,0.0,148.1304347826087,0.0,0,23,0,3407,0
10.20.42.57,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,4085022.9999999995,278.08900953556446,0.979186653294241,0.979186653294241,0.0,4,0,1136,0,652.0,136.0,284.0,214.54603235669495,0.0,0.0,0.0,0.0,652,136,284.0,214.54603235669495,46030.0,32,0,8,4,1361674.3333333333,3476888.0,297581.0,1495691.3042519465,4085023.0,3476888.0,297581.0,1361674.3333333333,1495691.3042519465,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,284.0,0,0,0.0,0.0,0.0,0.0,3179307.0,310554.0,1744930.5,1434376.5,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0,4,0,1136,0
10.20.36.13,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,4289953.0,152.91542821098508,0.6993083607209684,0.6993083607209684,0.0,3,0,656,0,369.0,108.0,218.66666666666666,110.1826765976495,0.0,0.0,0.0,0.0,369,108,218.66666666666666,110.1826765976495,12140.22222222222,24,0,8,3,2144976.5,3266735.0,1023218.0,1121758.5,4289953.0,3266735.0,1023218.0,2144976.5,1121758.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,218.66666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.66666666666666,0.0,0,3,0,656,0
10.20.32.195,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,9511554.0,610.415500979125,2.523246989924044,2.523246989924044,0.0,24,0,5806,0,558.0,91.0,241.91666666666666,145.99455374164555,0.0,0.0,0.0,0.0,558,91,241.91666666666666,145.99455374164555,21314.409722222226,192,0,8,24,413545.82608695654,2144397.0,0.0,444308.50858596305,9511554.0,2144397.0,0.0,413545.82608695654,444308.50858596305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,241.91666666666666,0,0,1936708.0,1444.0,463908.4285714286,619649.3107081634,1116399.0,93005.0,346852.0,296262.6963732244,2149.0,11.5,0.0,0.0,678.0079187160316,0.0,241.91666666666666,0.0,0,24,0,5806,0
10.20.39.171,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,9409183.0,426.39196198012087,1.169070683395147,1.169070683395147,0.0,11,0,4012,0,996.0,202.0,364.72727272727275,257.34486621125603,0.0,0.0,0.0,0.0,996,202,364.72727272727275,257.34486621125603,66226.38016528926,88,0,8,11,940918.3,2764966.0,310751.0,814725.4802927241,9409183.0,2764966.0,310751.0,940918.3,814725.4802927242,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,364.72727272727275,0,0,2454215.0,84160.0,1165056.75,931619.9255231114,2244213.0,396377.0,1155128.4,678464.7493704002,0.0,0.0,0.0,0.0,0.0,0.0,364.72727272727275,0.0,0,11,0,4012,0
10.20.39.39,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,8994199.0,332.5476787871827,0.7782794221030689,0.7782794221030689,0.0,7,0,2991,0,781.0,203.0,427.2857142857143,198.16062336665482,0.0,0.0,0.0,0.0,781,203,427.2857142857143,198.16062336665482,39267.63265306123,56,0,8,7,1499033.1666666667,2764134.0,506787.0,888222.6933465535,8994199.0,2764134.0,506787.0,1499033.1666666667,888222.6933465535,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,427.2857142857143,0,0,0.0,0.0,0.0,0.0,2545319.0,208444.0,990859.3333333334,1099177.12581741,0.0,0.0,0.0,0.0,0.0,0.0,427.2857142857143,0.0,0,7,0,2991,0
10.20.36.21,224.0.0.251,5353,5353,17,2023-05-04 14:39:24,9811592.0,69.81537756563868,0.20384051843982098,0.20384051843982098,0.0,2,0,685,0,566.0,119.0,342.5,223.5,0.0,0.0,0.0,0.0,566,119,342.5,223.5,49952.25,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,342.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.5,0.0,0,2,0,685,0
