src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.20.36.190,224.0.0.251,5353,5353,17,2023-05-04 14:48:12,0.0,0,0,0,0,1,0,359,0,359.0,359.0,359.0,0.0,0.0,0.0,0.0,0.0,359,359,359.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,359.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0,1,0,359,0
10.20.36.13,224.0.0.251,5353,5353,17,2023-05-04 14:48:12,8912434.0,203.6480718959602,0.8976223554642874,0.8976223554642874,0.0,8,0,1815,0,405.0,110.0,226.875,95.27386512050406,0.0,0.0,0.0,0.0,405,110,226.875,95.27386512050406,9077.109375,64,0,8,8,1273204.857142857,5737092.0,102604.0,1867040.1585454852,8912434.0,5737092.0,102604.0,1273204.857142857,1867040.1585454852,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,226.875,0,0,5526098.0,506008.0,3016053.0,2510045.0,4305610.0,95302.0,1584600.5,1630939.1673458426,697.0,4.0,0.0,0.0,674.9663969383447,0.0,226.875,0.0,0,8,0,1815,0
104.18.2.161,10.20.13.66,443,50797,17,2023-05-04 14:48:12,9980052.0,43168.813148468565,65.43052080289762,40.98175039568932,24.448770407208297,409,244,409701,21126,1242.0,67.0,1001.7139364303179,428.289860061155,92.0,83.0,86.58196721311475,1.5302424748097618,1242,67,659.7656967840735,557.5759710377822,310890.96347872575,3272,1952,8,409,15306.828220858895,495600.0,0.0,36804.7619181802,9979857.0,1001344.0,0.0,24460.433823529413,62527.894360143524,9972910.0,495600.0,45.0,41040.78189300412,56694.68955061396,0,0,0,0,1,0,0,0,0,0,0,0.5965770171149144,659.7656967840735,0,0,495549.0,843.0,41194.28125,58612.75902503778,308832.0,5013.0,34175.59793814433,46461.87787990285,3770.0526315789475,4.315789473684211,0.0,0.0,199778.5537383699,0.0,1001.7139364303179,86.58196721311475,0,409,244,409701,21126
10.20.39.14,224.0.0.251,5353,5353,17,2023-05-04 14:48:12,1334078.0,188.8945024203982,1.499162717622208,1.499162717622208,0.0,2,0,252,0,142.0,110.0,126.0,16.0,0.0,0.0,0.0,0.0,142,110,126.0,16.0,256.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,126.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0,2,0,252,0
10.20.35.97,224.0.0.251,5353,5353,17,2023-05-04 14:48:12,8294305.0,163.72679808615672,0.60282326246744,0.60282326246744,0.0,5,0,1358,0,394.0,179.0,271.6,82.58716607318597,0.0,0.0,0.0,0.0,394,179,271.6,82.58716607318597,6820.639999999999,40,0,8,5,2073576.25,5015936.0,418431.0,1754412.3322727436,8294305.0,5015936.0,418431.0,2073576.25,1754412.3322727436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,271.6,0,0,0.0,0.0,0.0,0.0,3793817.0,803688.0,2078441.3333333333,1259848.9035420963,0.0,0.0,0.0,0.0,0.0,0.0,271.6,0.0,0,5,0,1358,0
10.20.41.121,10.20.255.255,137,137,17,2023-05-04 14:48:12,9009486.0,51.05729672036784,0.5549706165257374,0.5549706165257374,0.0,5,0,460,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,40,0,8,5,2252371.5,7573293.0,1.0,3085992.3636390856,9009486.0,7573293.0,1.0,2252371.5,3085992.3636390856,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,7573293.0,720776.0,4147034.5,3426258.5,200.0,4.0,0.0,0.0,139.25704971407046,0.0,92.0,0.0,0,5,0,460,0
10.20.16.254,224.0.0.251,5353,5353,17,2023-05-04 14:48:12,7372825.0,182.42668176716523,0.5425328825789301,0.5425328825789301,0.0,4,0,1345,0,475.0,243.0,336.25,93.14873858512524,0.0,0.0,0.0,0.0,475,243,336.25,93.14873858512524,8676.6875,32,0,8,4,2457608.3333333335,5112020.0,617003.0,1923192.6612974121,7372825.0,5112020.0,617003.0,2457608.3333333335,1923192.6612974121,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,336.25,0,0,0.0,0.0,0.0,0.0,3468218.0,1643802.0,2556010.0,912208.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0,4,0,1345,0
10.20.36.100,224.0.0.251,5353,5353,17,2023-05-04 14:48:12,7379577.0,143.36865107580013,0.6775456099990554,0.6775456099990554,0.0,5,0,1058,0,216.0,194.0,211.6,8.8,0.0,0.0,0.0,0.0,216,194,211.6,8.8,77.44000000000001,40,0,8,5,1844894.25,3483041.0,621654.0,1072989.0411633698,7379577.0,3483041.0,621654.0,1844894.25,1072989.0411633698,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,211.6,0,0,0.0,0.0,0.0,0.0,3483041.0,823780.0,2153410.5,1329630.5,0.0,0.0,0.0,0.0,0.0,0.0,211.6,0.0,0,5,0,1058,0
157.240.199.17,10.20.13.66,443,49254,6,2023-05-04 14:48:12,7073879.0,124.96679685926209,1.4136515481816978,0.7068257740908489,0.7068257740908489,5,5,518,366,110.0,102.0,103.6,3.1999999999999997,78.0,66.0,73.2,5.878775382679627,110,66,88.4,15.919798993705921,253.44000000000005,100,100,20,5,785986.5555555555,6857018.0,15.0,2146859.957003929,7073839.0,6857034.0,10937.0,1768459.75,2938174.1641827817,7073863.0,6857053.0,10917.0,1768465.75,2938181.8872421235,0,0,0,0,1,0,0,0,0,0,0,1.0,88.4,305,501,6856983.0,16.0,1736987.0,2956190.494558918,6857002.0,10867.0,1768419.25,2938179.279969602,144.0,4.0,0.0,0.0,664.1913240008303,0.0,103.6,73.2,0,5,5,518,366
10.20.34.31,224.0.0.251,5353,5353,17,2023-05-04 14:48:12,7578858.0,283.94779266216625,1.0555680024615846,1.0555680024615846,0.0,8,0,2152,0,432.0,204.0,269.0,78.98101037591252,0.0,0.0,0.0,0.0,432,204,269.0,78.98101037591252,6238.0,64,0,8,8,1082694.0,3067612.0,302778.0,960878.8003725697,7578858.0,3067612.0,302778.0,1082694.0,960878.8003725697,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,269.0,0,0,2764834.0,1539767.0,2152300.5,612533.5,2547875.0,8615.0,1025393.8,1030341.0177993304,794.0,4.0,0.0,0.0,551.9270177311768,0.0,269.0,0.0,0,8,0,2152,0
