src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.20.37.74,224.0.0.251,5353,5353,17,2023-05-04 14:59:00,9012198.0,116.06491557331519,0.7767250564179793,0.7767250564179793,0.0,7,0,1046,0,233.0,124.0,149.42857142857142,36.16176806224711,0.0,0.0,0.0,0.0,233,124,149.42857142857142,36.16176806224711,1307.6734693877552,56,0,8,7,1502033.0,7993955.0,98174.0,2906918.107696592,9012198.0,7993955.0,98174.0,1502033.0,2906918.1076965914,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,149.42857142857142,0,0,7895118.0,105216.0,4000167.0,3894951.0,7993955.0,104553.0,2837534.3333333335,3648329.264303624,561.0,6.0,0.0,0.0,550.9490367230612,0.0,149.42857142857142,0.0,0,7,0,1046,0
10.20.42.196,224.0.0.251,5353,5353,17,2023-05-04 14:59:00,9827515.0,110.30255359569536,1.4245717254056596,1.4245717254056596,0.0,14,0,1084,0,110.0,72.0,77.42857142857143,13.297230032251539,0.0,0.0,0.0,0.0,110,72,77.42857142857143,13.297230032251539,176.81632653061226,112,0,8,14,755962.6923076923,2963714.0,0.0,1089890.245340496,9827515.0,2963714.0,0.0,755962.6923076923,1089890.245340496,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.42857142857143,0,0,2963714.0,2110.0,1619600.3333333333,1086515.1754053978,2963714.0,88105.0,1634726.5,1066797.173798086,158.0,4.0,0.0,0.0,305.9205303655169,0.0,77.42857142857143,0.0,0,14,0,1084,0
192.168.1.24,192.168.1.255,137,137,17,2023-05-04 14:59:00,0.0,0,0,0,0,1,0,92,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,1,0,92,0
10.20.42.89,10.20.255.255,137,137,17,2023-05-04 14:59:00,7160459.0,89.93836847609909,0.9775909616967292,0.9775909616967292,0.0,7,0,644,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,56,0,8,7,1193409.8333333333,1743677.0,722304.0,418127.3958916575,7160459.0,1743677.0,722304.0,1193409.8333333333,418127.3958916575,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,932211.0,89162.0,639746.5,326291.75546778686,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,7,0,644,0
10.20.37.229,224.0.0.251,5353,5353,17,2023-05-04 14:59:00,5944337.0,300.117574087741,1.6822733973528083,1.6822733973528083,0.0,10,0,1784,0,390.0,125.0,178.4,105.80094517536222,0.0,0.0,0.0,0.0,390,125,178.4,105.80094517536222,11193.84,80,0,8,10,660481.8888888889,2057065.0,212566.0,610774.6922066261,5944337.0,2057065.0000000002,212566.0,660481.8888888889,610774.6922066262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,178.4,0,0,396242.0,90559.0,243400.5,152841.5,1135601.0,86079.0,508773.2,357588.0649688409,668.0,8.0,0.0,0.0,272.31672228504715,0.0,178.4,0.0,0,10,0,1784,0
10.20.26.242,224.0.0.251,5353,5353,17,2023-05-04 14:59:00,0.0,0,0,0,0,1,0,326,0,326.0,326.0,326.0,0.0,0.0,0.0,0.0,0.0,326,326,326.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,326.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0,1,0,326,0
104.18.3.161,10.20.13.66,443,43692,17,2023-05-04 14:59:00,9934498.0,28052.851789793505,42.67955965163011,27.580658831477948,15.098900820152162,274,150,265780,12911,1242.0,67.0,970.0,428.159522423986,89.0,83.0,86.07333333333334,1.6895627310704453,1242,67,657.2900943396227,545.0621509446826,297092.74839244393,2192,1200,8,274,23485.810874704493,455651.0,0.0,46621.87075780142,9927977.0,617971.0,0.0,36366.216117216114,65223.97722534626,9927895.0,455651.0,66.0,66630.1677852349,70934.89924447767,0,0,0,0,1,0,0,0,0,0,0,0.5474452554744526,657.2900943396227,0,0,454579.0,1651.0,73165.9801980198,68884.01145302872,342406.0,5038.0,49531.644295302016,55875.58698459886,4222.35294117647,4.588235294117647,0.0,0.0,266014.416217318,0.0,970.0,86.07333333333334,0,274,150,265780,12911
10.20.35.189,224.0.0.251,5353,5353,17,2023-05-04 14:59:00,6352162.0,130.66417386710225,1.7316938705278613,1.7316938705278613,0.0,11,0,830,0,82.0,70.0,75.45454545454545,5.97515517278363,0.0,0.0,0.0,0.0,82,70,75.45454545454545,5.97515517278363,35.70247933884297,88,0,8,11,635216.2,3275956.0,0.0,1084181.3167838487,6352162.0,3275956.0,0.0,635216.2,1084181.3167838487,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.45454545454545,0,0,0.0,0.0,0.0,0.0,2047899.0,924066.0,1400007.3333333333,474640.45397355483,164.0,5.0,0.0,0.0,318.9708909887806,0.0,75.45454545454545,0.0,0,11,0,830,0
10.20.39.255,10.20.255.255,138,138,17,2023-05-04 14:59:00,0.0,0,0,0,0,1,0,249,0,249.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,249,249,249.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,249.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0,1,0,249,0
10.20.36.100,224.0.0.251,5353,5353,17,2023-05-04 14:59:00,8598801.0,263.52511239648413,1.0466575514423464,1.0466575514423464,0.0,9,0,2266,0,410.0,194.0,251.77777777777777,85.11662297208953,0.0,0.0,0.0,0.0,410,194,251.77777777777777,85.11662297208953,7244.83950617284,72,0,8,9,1074850.125,2451420.0,309658.0,656063.5287154815,8598801.0,2451420.0,309658.0,1074850.125,656063.5287154815,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,251.77777777777777,0,0,2141762.0,718003.0,1429882.5,711879.5,1734187.0,816709.0,1328710.6666666667,382057.7662276856,0.0,0.0,0.0,0.0,0.0,0.0,251.77777777777777,0.0,0,9,0,2266,0
