src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
104.18.2.161,10.20.13.66,443,50797,17,2023-05-04 14:47:18,9974534.0,20526.572970727255,36.79369883344926,23.459742580455387,13.333956252993874,234,133,193321,11422,1242.0,67.0,826.1581196581196,438.63554537319516,89.0,83.0,85.8796992481203,1.8436544046224188,1242,67,557.882833787466,499.30290905564,249303.3949914247,1872,1064,8,234,27252.82513661202,207019.0,0.0,47120.597657303166,9974534.0,400080.0,0.0,42809.158798283264,66818.03081321613,9935767.0,240553.0,40.0,75270.96212121213,64524.013396165654,0,0,0,0,1,0,0,0,0,0,0,0.5683760683760684,557.882833787466,0,0,206953.0,1254.0,88002.82716049382,61868.39102178468,205775.0,5146.0,58623.17741935484,58666.90379661624,4174.666666666667,5.066666666666666,0.0,0.0,209700.05056644464,0.0,826.1581196581196,85.8796992481203,0,234,133,193321,11422
10.20.38.28,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,1023793.0,845.8741171310998,2.930279851493417,2.930279851493417,0.0,3,0,866,0,404.0,142.0,288.6666666666667,109.23166004211214,0.0,0.0,0.0,0.0,404,142,288.6666666666667,109.23166004211214,11931.555555555557,24,0,8,3,511896.5,901656.0,122137.0,389759.5,1023793.0,901656.0,122137.0,511896.5,389759.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,288.6666666666667,0,0,0.0,0.0,0.0,0.0,779519.0,122137.0,450828.0,328691.0,0.0,0.0,0.0,0.0,0.0,0.0,288.6666666666667,0.0,0,3,0,866,0
10.20.34.151,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,4197136.0,715.2496368952542,2.382577071603112,2.382577071603112,0.0,10,0,3002,0,587.0,142.0,300.2,133.3265164924067,0.0,0.0,0.0,0.0,587,142,300.2,133.3265164924067,17775.96,80,0,8,10,466348.44444444444,2049081.0,8502.0,614099.141177476,4197136.0,2049081.0000000002,8502.0,466348.44444444444,614099.141177476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,300.2,0,0,194313.0,104836.0,149574.5,44738.5,1330695.0,113338.0,587057.5,465247.6325165449,1970.0,8.0,0.0,0.0,1370.0030529509656,0.0,300.2,0.0,0,10,0,3002,0
10.20.34.160,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,1023776.0,166.05194886381395,1.9535523395742818,1.9535523395742818,0.0,2,0,170,0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85,85,85.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0,2,0,170,0
10.20.38.97,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,0.0,0,0,0,0,1,0,103,0,103.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,103,103,103.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,103.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0,1,0,103,0
10.20.37.251,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,407213.0,1561.8361889232417,7.367151834543593,7.367151834543593,0.0,3,0,636,0,367.0,127.0,212.0,109.77249200050075,0.0,0.0,0.0,0.0,367,127,212.0,109.77249200050075,12050.0,24,0,8,3,203606.5,296430.0,110783.0,92823.5,407213.0,296430.0,110783.0,203606.5,92823.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,212.0,0,0,0.0,0.0,0.0,0.0,185647.0,110783.0,148215.0,37432.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0,3,0,636,0
10.20.16.254,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,9323706.0,826.0663731782191,1.6088023367532183,1.6088023367532183,0.0,15,0,7702,0,1458.0,127.0,513.4666666666667,423.60954768381805,0.0,0.0,0.0,0.0,1458,127,513.4666666666667,423.60954768381805,179445.04888888894,120,0,8,15,665979.0,2456190.0,2095.0,660374.0217404938,9323706.0,2456190.0,2095.0,665979.0,660374.0217404938,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,513.4666666666667,0,0,2145455.0,498814.0,1118462.0,655921.1330125749,2264875.0,75065.0,668071.8571428572,785557.5204607287,3661.0,10.0,0.0,0.0,813.0348519015155,0.0,513.4666666666667,0.0,0,15,0,7702,0
10.20.31.157,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,8510698.0,69.44201286427976,0.5874958787164108,0.5874958787164108,0.0,5,0,591,0,125.0,91.0,118.2,13.6,0.0,0.0,0.0,0.0,125,91,118.2,13.6,184.96,40,0,8,5,2127674.5,5230380.0,212510.0,2062429.9408239909,8510698.0,5230380.0,212510.0,2127674.5,2062429.9408239909,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,118.2,0,0,0.0,0.0,0.0,0.0,2468733.0,306161.0,1743460.0,1016338.2580955352,0.0,0.0,0.0,0.0,0.0,0.0,118.2,0.0,0,5,0,591,0
10.20.39.171,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,8813936.0,175.85786872062607,0.5672834474858905,0.5672834474858905,0.0,5,0,1550,0,464.0,202.0,310.0,92.61317400888494,0.0,0.0,0.0,0.0,464,202,310.0,92.61317400888494,8577.2,40,0,8,5,2203484.0,3893273.0,417635.0,1229787.747802441,8813936.0,3893273.0,417635.0,2203484.0,1229787.747802441,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,310.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0,5,0,1550,0
10.20.34.173,224.0.0.251,5353,5353,17,2023-05-04 14:47:18,3376341.0,196.95877874894745,0.8885358439802141,0.8885358439802141,0.0,3,0,665,0,411.0,112.0,221.66666666666666,134.43792454346934,0.0,0.0,0.0,0.0,411,112,221.66666666666666,134.43792454346934,18073.555555555555,24,0,8,3,1688170.5,3066698.0,309643.0,1378527.5,3376341.0,3066698.0,309643.0,1688170.5,1378527.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,221.66666666666666,0,0,0.0,0.0,0.0,0.0,2757055.0,309643.0,1533349.0,1223706.0,0.0,0.0,0.0,0.0,0.0,0.0,221.66666666666666,0.0,0,3,0,665,0
