src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.20.35.189,10.20.255.255,137,137,17,2023-05-04 15:02:39,825704.0,445.68029221125244,4.844351002296222,4.844351002296222,0.0,4,0,368,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,32,0,8,4,275234.6666666667,825371.0,1.0,389005.1553474438,825704.0,825371.0,1.0,275234.6666666667,389005.15534744377,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,4.0,0.0,0.0,242.21755011481113,0.0,92.0,0.0,0,4,0,368,0
113.171.1.210,10.20.13.66,443,41148,6,2023-05-04 15:02:39,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
209.58.170.246,10.20.13.66,443,37674,6,2023-05-04 15:02:39,5143385.0,101.10073424408245,0.9721224446546388,0.5832734667927834,0.38884897786185557,3,2,265,255,133.0,66.0,88.33333333333333,31.584102892999123,189.0,66.0,127.5,61.5,189,66,104.0,49.795582133357975,2479.6,60,40,20,1,1285846.25,4790561.0,35.0,2025440.5793786417,5143350.0,5042902.0,100448.0,2571675.0,2471227.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,104.0,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.33333333333333,127.5,0,3,2,265,255
10.20.36.160,224.0.0.251,5353,5353,17,2023-05-04 15:02:39,6047758.0,882.1450858318075,2.6456085048376603,2.6456085048376603,0.0,16,0,5335,0,1488.0,91.0,333.4375,440.25247994048823,0.0,0.0,0.0,0.0,1488,91,333.4375,440.25247994048823,193822.24609375,128,0,8,16,403183.86666666664,1541719.0,0.0,438598.2602815271,6047758.0,1541719.0,0.0,403183.86666666664,438598.2602815271,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,333.4375,0,0,1001833.9999999999,106255.0,525359.0,324709.1834911664,1055713.0,106255.0,455394.375,334850.80790291424,2290.0,7.5,0.0,0.0,1399.0615290765002,0.0,333.4375,0.0,0,16,0,5335,0
10.20.33.5,224.0.0.251,5353,5353,17,2023-05-04 15:02:39,5019636.0,778.1440725980927,1.7929586926223335,1.7929586926223335,0.0,9,0,3906,0,1472.0,134.0,434.0,469.9721031910062,0.0,0.0,0.0,0.0,1472,134,434.0,469.9721031910062,220873.77777777778,72,0,8,9,627454.5,1949425.0,2266.0,642673.4056970539,5019636.0,1949425.0,2266.0,627454.5,642673.4056970539,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,434.0,0,0,1433328.0,2469.0,717898.5,715429.5,1946956.0,94127.0,888196.0,779226.034781094,1715.0,4.0,0.0,0.0,1867.7013986524234,0.0,434.0,0.0,0,9,0,3906,0
10.20.13.66,113.171.70.21,34028,443,6,2023-05-04 15:02:39,40964.0,3222.34156820623,48.82335709403379,24.411678547016894,24.411678547016894,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66
10.20.35.169,10.20.255.255,137,137,17,2023-05-04 15:02:39,0.0,0,0,0,0,1,0,92,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,1,0,92,0
10.20.34.124,224.0.0.251,5353,5353,17,2023-05-04 15:02:39,8794365.0,190.8039977872194,0.7959642339156948,0.7959642339156948,0.0,7,0,1678,0,397.0,126.0,239.71428571428572,131.4107130724283,0.0,0.0,0.0,0.0,397,126,239.71428571428572,131.4107130724283,17268.775510204083,56,0,8,7,1465727.5,6667822.0,109950.0,2336066.201829816,8794365.0,6667822.0,109950.0,1465727.5,2336066.201829816,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,239.71428571428572,0,0,0.0,0.0,0.0,0.0,6157535.0,109950.0,1687755.25,2581333.471029787,691.0,5.0,0.0,0.0,524.4534982035001,0.0,239.71428571428572,0.0,0,7,0,1678,0
10.20.33.169,224.0.0.251,5353,5353,17,2023-05-04 15:02:39,0.0,0,0,0,0,1,0,371,0,371.0,371.0,371.0,0.0,0.0,0.0,0.0,0.0,371,371,371.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,371.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0,1,0,371,0
10.20.36.100,224.0.0.251,5353,5353,17,2023-05-04 15:02:39,0.0,0,0,0,0,1,0,439,0,439.0,439.0,439.0,0.0,0.0,0.0,0.0,0.0,439,439,439.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,439.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,0.0,0,1,0,439,0
